name,path,xs(pb)
Tau_LQ_M500_gU0_25,/disco4/personal_folders/Joaquin/Data/lq_lq/M500_gU0_25,1.14566330e-1
Tau_LQ_M500_gU0_50,/disco4/personal_folders/Joaquin/Data/lq_lq/M500_gU0_5,4.58265300e-1
Tau_LQ_M500_gU1_00,/disco4/personal_folders/Joaquin/Data/lq_ta/M500_gU1_0,1.83310120
Tau_LQ_M500_gU2_00,/disco4/personal_folders/Joaquin/Data/lq_ta/M500_gU2_0,7.33220500
Tau_LQ_M500_gU3_00,/disco4/personal_folders/Joaquin/Data/lq_ta/M500_gU3_0,1.64973110e+1
Tau_LQ_M1500_gU0_25,/disco4/personal_folders/Joaquin/Data/lq_lq/M500_gU0_25,0.0001176
Tau_LQ_M1500_gU0_50,/disco4/personal_folders/Joaquin/Data/lq_lq/M500_gU0_5,0.0004705
Tau_LQ_M1500_gU1_00,/disco4/personal_folders/Joaquin/Data/lq_ta/M500_gU1_0,0.001879
Tau_LQ_M1500_gU2_00,/disco4/personal_folders/Joaquin/Data/lq_ta/M500_gU2_0,0.007537
Tau_LQ_M1500_gU3_00,/disco4/personal_folders/Joaquin/Data/lq_ta/M500_gU3_0,0.01691
Tau_LQ_0250,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_250,182.3
Tau_LQ_0500,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_500,5.944
Tau_LQ_0750,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_750,0.6093
Tau_LQ_1000,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_1000,0.1029
Tau_LQ_1250,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_1250,0.02291
Tau_LQ_1500,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_1500,0.006099
Tau_LQ_1750,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_1750,0.001836
Tau_LQ_2000,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_2000,0.0006038
Tau_LQ_2250,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_2250,0.0002119
Tau_LQ_2500,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_2500,7.806e-05
LQ_LQ_0250,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_250,937.9
LQ_LQ_0500,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_500,20.02
LQ_LQ_0750,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_750,1.527
LQ_LQ_1000,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_1000,0.19567
LQ_LQ_1250,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_1250,0.0330183
LQ_LQ_1500,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_1500,0.00654102
LQ_LQ_1750,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_1750,0.001428408
LQ_LQ_2000,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_2000,0.000331919
LQ_LQ_2250,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_2250,8.02268e-05
LQ_LQ_2500,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_2500,1.997652e-05